Korean,Chinese
수소,氢
알칼리 금속,碱金属
리튬,锂
나트륨,钠
포타슘/칼륨,钾
루비듐,铷
초대박 할인,超级折扣
캐릭터,角色
"유저, 플레이어",玩家
대미지/피해,伤害
HP,生命（值）
MP,魔法（值)
AP,行动力
물리 방어,护甲
마법 방어,法抗
마법 공격,魔法攻击
물리 공격,物理攻击
힘,力量
민첩,敏捷
지능,智能
치명타/크리티컬,暴击
탱커,坦克
힐러,奶妈
딜러,输出
퀘스트/미션,任务
스킬,技能
에어본,击飞
넉백,击退
도발,嘲讽
기절,眩晕
빙결,冻冰
석화,石化
혼란,混乱
쿨타임,冷却
버프,增益
디버프,负面
스킨/코스튬,时装/皮肤
가방/인벤토리,背包
장비,装备
아이템,道具
보상,奖励
획득,获得/领取
길드,公会/盟会/帮会
귓속말,私聊
출석 체크,签到
펫,宠物
튜토리얼,教程
해제,解除
동료,伙伴
초보자,新手
처치,击败
보스,首领
몬스터,怪物/魔物
업로드,上传
로딩,加载
서버,区服
통합 서버,跨服
넉백,击退
시전/발동,发动
퇴치/격파,击败
티어/등급,品质
아레나/결투장,竞技场
격파 당함,被击败
필드,场景
방어 기술,收招
기술,招式
쓰러지다/넉다운,击倒
퍼포먼스,表演
게이지,进度条
대상,目标
EXP/경험치,经验
인터페이스,面板
특수기,特技
스킬창,技能界面
명단,姓名板
게이지,计量条
보스전,首领战
길드,公会
스핀오프,衍生同人
슈퍼아머,霸体
차감,削减
영창,吟唱
슬롯,位
프리셋,方案
회심,会心
간파,识破率
보조재료,辅料
드랍 확률,掉落概率
집중률,专注率
통합 서버,跨服
낚기,钓起
미끼,鱼饵
길드,盟会
서버,区服
시련,困难
1인,单人
감소,降低/减少
조식,调息
제거,清除
싱글,单机
이 기술,此招
에너지,气血
승급,进阶
속죄,救赎
무료 충전소,积分墙
자리,档位
던전,副本
일일보상(출첵),签到
스킨,皮肤
펫,宠物
업적,成就
인첸트,灵种/镶嵌
전 서버,全服
배포,发放
게임머니,游戏货币
가방/보따리,背包/包囊
귓속말,私聊
대전 밖,局外
슬롯,格子
프로필 박스,头像
수익,收益
스테이지 통과,通关
가중치,权重
빅매치,大奖赛
올킬,全清
업데이트,更新
길드,帮会
하우징,庄园
동시접속,双开
다중 동시 접속,多开
상점,商店
pvp. 깃발전,切磋 
채팅 금지,禁言
금화/골드,金币
단조,锻造
AP,行动力
최대,已满
가챠/뽑기,扭蛋
슬롯,槽
"사용 시 S1 시즌 제왕의 계곡에서 해제하지 않은 각성 6성 영웅 하나를 랜덤으로 획득합니다. (모든 영웅 해제 시, 제왕의 계곡 각성 6성 영웅 중 하나를 랜덤으로 획득) ",使用后，将会获得S1赛季帝王谷中随机一个未解锁觉醒六星英雄（若全部已解锁则会随机获得一个帝王谷的觉醒六星英雄）
"사용 시 S2 제왕의 계곡에서 해제하지 않은 각성 6성 영웅/전혼 하나를 랜덤으로 획득합니다. (모든 영웅/전혼 해제 시, 제왕의 계곡 각성 6성 영웅/전혼 중 하나를 랜덤으로 획득)",使用后，将会获得S2赛季帝王谷中随机一个未解锁觉醒六星英雄/战魂（若全部已解锁则会随机获得一个帝王谷的觉醒六星英雄/战魂）
동시,同时
접속,登录
보상,奖励
획득,获得/领取
~를 공격/적중,击中~
최대치를 초과,超出上限
최대치에 도달,达到上限
패널티,罚款/罚金/处罚/惩罚
던전,地牢
파티,同盟/联盟
보너스,加成
퀘스트/미션,任务
효과,效果
~ 확률로,概率
스킬,技能
~ 마다/매회,每次
수락,接受
적립,累积
소모,消耗
알림,通知
해제,解除
교환,兑换
조건 만족,满足要求
종료/완료,结束
일반,通用
체험,体验
감시,监管
동료,伙伴
설치,放置
~에 설치,放置于
아이템,道具
마지막,最后
실패/패배,失败
무승부,平局
승리,胜利
랭킹,排位
대전,对战
전투,战斗
중첩,叠加
덫,陷阱
기여,贡献
로딩,加载
이벤트,活动
화면,界面
리소스,资源
~동안,在 期间
전용,专属
모드,模式
함께,共同
리스트,列表
"~하러 가기/단독으로 前往만 있을 경우, 이동",前往~
배틀,赛
스킨,时装
회복,恢复
탈주,逃跑
탈퇴,退出
캐릭터,角色
대미지/피해,伤害
파티원,成员
포인트,点
치명타,致命打击
오픈/열기/활성화,开启
확률로,有_概率
면역 감소,减免
코스튬,外装
이상,异常
대기시간/쿨타임,冷却时间/读条时间
아르,公亩
공격,打
장비,装置
무리/단체,团
당신,你
가방/배낭/행낭,背包
점술사,占卜师
힘,力量
힘/에너지,能量
부여,提供
~로,使用
에어본/넉업,击飞
완료,完成
단일,单体
상태 부여,施加状态
피해를 입히다,造成伤害
보너스,福利
마법,魔法
물리치다,物理
부대 편성,编队
처치,击杀
넉다운,击倒
넉다운,击退
시전,施放、触发
궁극기,大招
소모,耗费
포맷,格式
작위,爵位
성채,要塞
챕터7,第七章
혜택,权益
넉백,击退
시전/발동,发动
퇴치/격파,击败
티어/등급,品质
아레나/결투장,竞技场
격파 당함,被击败
필드,场景
방어 기술,收招
기술,招式
쓰러지다/넉다운,击倒
퍼포먼스,表演
게이지,进度条
대상,目标
EXP/경험치,经验
인터페이스,面板
특수기,特技
스킬창,技能界面
명단,姓名板
게이지,计量条
보스전,首领战
길드,公会
스핀오프,衍生同人
슈퍼아머,霸体
차감,削减
영창,吟唱
슬롯,位
프리셋,方案
"증가(상승 등 다른 용어말고, 증가라는 말로 사용)",提升
회심,会心
간파,识破率
보조재료,辅料
드랍 확률,掉落概率
집중률,专注率
통합 서버,跨服
낚기,钓起
미끼,鱼饵
길드,盟会
서버,区服
시련,困难
1인,单人
감소,降低/减少
조식,调息
제거,清除
싱글,单机
이 기술,此招
에너지,气血
승급,进阶
속죄,救赎
무료 충전소,积分墙
자리,档位
던전,副本
일일보상(출첵),签到
스킬데미지 증가율 (인게임: 스킬데미지),增加技能伤害率 
"정확도, 정밀도(인게임: 프리시젼, precison)",准确
"막기, 블로킹/블록",格挡
대전 내,局内
"방어무시, 방어 관통, 방관 (인게임: 아머파괴)",破甲
상태 이상 면역률,免控率
